Match Number,Round Number,Date,Location,Home Team,Away Team,Result
27,5,05/10/2025 10:55,Chigwell Construction Stadium,West Ham United,Aston Villa,0 - 2
28,5,05/10/2025 10:55,The CopperJax Community Stadium,London City Lionesses,Liverpool,1 - 0
29,5,05/10/2025 10:55,Brisbane Road,Tottenham Hotspur,Brighton & Hove Albion,1 - 0
30,5,05/10/2025 10:55,King Power Stadium,Leicester City,Everton,1 - 1
31,6,12/10/2025 11:00,Kingsmeadow,Chelsea,Tottenham Hotspur,1 - 0
32,6,12/10/2025 11:00,The CopperJax Community Stadium,London City Lionesses,West Ham United,1 - 0
34,6,12/10/2025 11:00,Villa Park,Aston Villa,Leicester City,0 - 0
35,6,12/10/2025 11:00,Hill Dickinson Stadium,Everton,Manchester United,1 - 4
33,6,12/10/2025 13:30,Emirates Stadium,Arsenal,Brighton & Hove Albion,1 - 0
36,6,12/10/2025 15:45,Anfield,Liverpool,Manchester City,1 - 2
37,7,01/11/2025 12:00,Joie Stadium,Manchester City,West Ham United,1 - 0
40,7,01/11/2025 12:00,Stamford Bridge,Chelsea,London City Lionesses,2 - 0
38,7,02/11/2025 12:00,Villa Park,Aston Villa,Everton,3 - 3
39,7,02/11/2025 12:00,Broadfield Stadium,Brighton & Hove Albion,Manchester United,2 - 3
42,7,02/11/2025 12:00,King Power Stadium,Leicester City,Arsenal,1 - 4
41,7,02/11/2025 12:15,Brisbane Road,Tottenham Hotspur,Liverpool,2 - 1
43,8,08/11/2025 12:00,Emirates Stadium,Arsenal,Chelsea,1 - 1
44,8,08/11/2025 12:00,Leigh Sports Village Stadium,Manchester United,Aston Villa,0 - 1
45,8,09/11/2025 11:55,The CopperJax Community Stadium,London City Lionesses,Tottenham Hotspur,4 - 2
46,8,09/11/2025 12:00,Chigwell Construction Stadium,West Ham United,Leicester City,1 - 1
48,8,09/11/2025 12:00,St Helens Stadium,Liverpool,Brighton & Hove Albion,1 - 1
47,8,09/11/2025 14:30,Goodison Park,Everton,Manchester City,1 - 2
54,9,15/11/2025 13:30,Etihad Stadium,Manchester City,Manchester United,3 - 0
49,9,16/11/2025 12:00,Chigwell Construction Stadium,West Ham United,Everton,3 - 1
50,9,16/11/2025 12:00,Villa Park,Aston Villa,London City Lionesses,1 - 3
51,9,16/11/2025 12:00,Falmer Stadium,Brighton & Hove Albion,Leicester City,4 - 1
52,9,16/11/2025 12:00,St Helens Stadium,Liverpool,Chelsea,1 - 1
53,9,16/11/2025 14:30,Brisbane Road,Tottenham Hotspur,Arsenal,0 - 0
55,10,06/12/2025 12:00,Emirates Stadium,Arsenal,Liverpool,2 - 1
58,10,07/12/2025 12:00,The CopperJax Community Stadium,London City Lionesses,Brighton & Hove Albion,0 - 1
59,10,07/12/2025 12:00,Brisbane Road,Tottenham Hotspur,Aston Villa,2 - 1
60,10,07/12/2025 12:00,King Power Stadium,Leicester City,Manchester City,0 - 3
56,10,07/12/2025 12:15,Leigh Sports Village Stadium,Manchester United,West Ham United,2 - 1
57,10,07/12/2025 14:30,Kingsmeadow,Chelsea,Everton,0 - 1
65,11,13/12/2025 12:00,Goodison Park,Everton,Arsenal,1 - 3
